100 300 10 watts-strogatz
0 1
0 99
0 2
0 98
0 3
1 3
1 99
1 4
1 98
1 35
2 3
2 4
2 5
2 99
3 4
3 5
3 61
4 5
4 6
4 7
5 6
5 8
5 83
6 7
6 8
6 9
6 70
7 8
7 9
7 10
8 9
8 10
8 71
9 10
9 11
9 46
10 11
10 12
10 40
10 28
11 12
11 13
11 14
12 13
12 14
12 15
12 89
12 97
13 14
13 93
13 94
13 72
14 15
14 16
14 17
15 16
15 17
15 18
16 17
16 18
16 19
17 18
17 19
17 20
17 88
18 19
18 20
18 21
19 20
19 21
19 22
20 21
20 22
20 23
21 23
21 24
21 38
21 34
22 23
22 24
22 25
23 24
23 25
23 26
24 25
24 26
24 27
24 51
25 26
25 27
25 28
26 27
26 79
26 95
26 44
27 28
27 29
27 30
28 30
28 99
29 31
29 32
29 85
29 57
30 31
30 33
30 90
30 93
31 33
31 34
31 57
31 91
32 33
32 34
32 78
32 82
33 34
33 35
33 36
34 36
34 37
35 36
35 37
35 38
36 37
36 38
36 39
36 51
37 38
37 39
37 40
38 39
38 47
38 86
39 40
39 41
39 42
40 41
40 43
40 82
40 53
40 89
41 42
41 43
41 44
41 76
42 43
42 44
42 45
42 73
43 44
43 45
43 46
44 45
44 46
44 47
45 46
45 47
45 48
46 47
46 48
46 49
47 48
47 49
47 50
48 49
48 50
48 51
49 51
49 52
49 70
50 51
50 52
50 53
51 54
52 54
52 55
52 75
52 59
52 62
53 54
53 56
54 55
54 56
54 57
55 56
55 57
55 58
56 57
56 58
56 59
57 60
57 64
57 93
57 94
58 59
58 60
58 61
59 60
59 61
59 82
60 62
60 63
60 84
61 62
61 64
61 82
62 63
62 64
63 64
63 65
63 66
63 83
64 65
64 66
64 67
64 69
65 67
65 68
65 86
65 88
66 67
66 68
66 69
67 68
67 69
67 70
68 69
68 77
68 95
68 87
69 70
69 71
70 71
70 72
71 72
71 73
71 74
72 73
72 74
72 75
73 75
73 76
74 75
74 76
74 77
74 84
75 76
75 78
75 91
76 78
76 79
77 78
77 79
77 80
77 87
78 79
78 80
78 81
79 82
79 88
79 95
80 81
80 82
80 83
81 83
81 84
81 89
82 83
83 85
83 86
84 85
84 86
85 86
85 87
85 88
86 87
86 88
86 89
87 88
88 90
89 90
90 91
90 92
90 93
91 93
91 94
92 93
92 94
92 95
92 96
94 95
94 96
95 96
95 98
96 97
96 98
97 98
97 99
98 99
