74	258	22	massachusetts
0	2	1610
2	0	1605
0	6	1605
6	0	1586
0	8	1745
8	0	1745
1	2	387
2	1	397
2	5	758
5	2	744
2	6	1159
6	2	1173
3	5	350
5	3	350
3	7	626
7	3	641
4	9	1044
9	4	1055
4	10	1167
10	4	1158
5	7	295
7	5	264
5	12	1165
12	5	1152
5	16	1228
16	5	1232
6	8	407
8	6	407
6	12	648
12	6	686
7	10	591
10	7	594
7	15	1263
15	7	1254
8	11	522
11	8	539
8	12	298
12	8	303
9	10	183
10	9	180
9	17	1052
17	9	1048
9	19	1175
19	9	1178
10	18	1251
18	10	1221
12	13	828
13	12	752
12	14	841
14	12	846
13	16	676
16	13	689
13	21	856
21	13	836
15	16	134
16	15	135
15	18	458
18	15	445
15	21	336
21	15	342
16	21	532
21	16	531
17	18	234
18	17	354
17	20	545
20	17	545
18	21	581
21	18	579
19	20	1646
20	19	1544
19	29	1328
29	19	1329
19	57	1226
57	19	1255
20	21	679
21	20	672
20	22	452
22	20	454
21	22	458
22	21	450
21	24	890
24	21	830
21	27	860
27	21	859
21	28	586
28	21	565
21	39	1222
39	21	1191
22	23	243
23	22	240
22	30	1665
30	22	1679
23	24	168
24	23	167
23	25	164
25	23	106
23	32	1198
32	23	1194
24	25	192
25	24	181
25	26	156
26	25	157
25	27	179
27	25	154
26	27	238
27	26	230
26	32	1041
32	26	1060
26	34	1700
34	26	1700
27	36	773
36	27	801
28	40	491
40	28	523
28	48	3238
48	28	3229
29	30	232
30	29	226
29	59	799
59	29	800
30	31	424
31	30	423
30	59	672
59	30	673
31	32	498
32	31	495
31	33	180
33	31	188
31	59	551
59	31	544
32	33	495
33	32	489
33	34	933
34	33	921
33	59	1007
59	33	1480
34	35	658
35	34	685
34	70	366
70	34	366
35	42	855
42	35	847
35	43	814
43	35	770
35	70	734
70	35	733
36	37	318
37	36	352
36	41	763
41	36	771
37	38	316
38	37	310
37	41	615
41	37	695
38	39	129
39	38	130
38	47	1753
47	38	1814
39	40	348
40	39	322
39	47	2189
47	39	2194
40	48	3281
48	40	3292
41	42	396
42	41	397
41	44	606
44	41	625
42	43	349
43	42	356
42	44	408
44	42	414
43	45	324
45	43	324
43	53	1007
53	43	1001
44	45	188
45	44	196
44	46	342
46	44	368
45	46	286
46	45	287
45	53	1127
53	45	1120
46	47	1053
47	46	1029
46	73	572
73	46	574
47	48	1462
48	47	1461
47	50	2932
50	47	2950
47	51	1688
51	47	1700
47	52	1406
52	47	1418
47	53	1500
53	47	1508
47	73	805
73	47	702
48	49	1303
49	48	1318
48	72	853
72	48	853
49	50	1544
50	49	1602
49	72	847
72	49	847
50	51	1494
51	50	1493
51	52	871
52	51	879
52	53	1392
53	52	1393
54	56	934
56	54	913
55	56	1025
56	55	1044
56	57	1035
57	56	1018
56	58	1136
58	56	1135
57	58	914
58	57	930
58	59	814
59	58	849
58	71	311
71	58	310
59	60	2483
60	59	2483
59	62	966
62	59	976
59	64	1163
64	59	1158
59	66	863
66	59	897
59	68	1215
68	59	1178
59	70	1285
70	59	1285
59	71	461
71	59	461
61	62	371
62	61	407
62	64	137
64	62	151
63	64	325
64	63	307
64	65	635
65	64	691
66	67	264
67	66	286
66	68	1176
68	66	1176
68	69	533
69	68	589
68	70	899
70	68	898
