90	149	10	albany
0	1	115
1	2	36
2	3	49
3	4	63
4	5	19
5	6	31
6	7	9
7	8	33
8	9	51
9	10	50
10	11	7
12	13	58
13	14	8
14	54	57
54	55	15
55	59	30
59	60	7
60	15	19
15	16	24
16	17	21
17	18	25
18	19	10
19	20	41
20	9	32
9	21	8
21	10	44
22	23	72
23	24	7
24	25	13
25	26	29
26	4	13
4	16	9
16	27	49
27	28	73
28	29	10
29	11	66
22	30	3
23	31	4
24	32	5
25	33	11
31	32	9
32	33	8
33	6	48
6	18	17
18	35	22
35	39	9
35	27	3
34	35	6
34	45	10
39	45	6
45	28	66
18	47	34
47	46	13
48	47	28
17	48	39
5	17	12
19	34	10
7	19	19
36	7	57
46	39	23
39	40	51
40	28	21
46	67	85
67	40	80
66	67	25
47	66	83
65	66	19
53	65	22
52	53	7
52	49	36
50	49	18
51	50	7
51	52	31
49	48	27
15	50	39
64	53	46
63	64	35
63	68	62
68	65	90
62	63	34
54	62	35
61	62	24
55	61	18
60	61	36
62	51	62
72	62	117
72	68	68
71	72	38
80	71	33
12	80	40
80	13	82
0	69	18
0	73	9
69	44	59
44	70	33
44	12	60
70	57	107
2	14	66
2	13	73
2	57	23
57	58	23
58	3	11
1	43	65
43	42	10
43	58	23
42	3	21
42	41	8
57	56	19
56	55	20
58	59	36
73	74	98
73	77	144
74	77	115
74	75	97
75	76	56
75	79	43
79	22	78
76	77	83
76	78	63
78	22	24
78	43	102
77	41	39
41	81	48
81	26	21
41	24	83
25	82	28
82	81	25
81	15	31
26	19	60
8	83	6
38	85	29
37	38	9
36	37	6
31	36	33
32	38	39
19	83	42
83	20	14
83	84	51
84	21	48
38	87	10
85	88	26
87	88	33
85	86	26
86	8	20
86	89	48
88	89	37
89	84	41
30	31	81
14	80	87
