24	76	6	siouxfalls
0	1	6
0	2	4
1	0	6
1	5	5
2	0	4
2	3	4
2	11	4
3	2	4
3	4	2
3	10	6
4	3	2
4	5	4
4	8	5
5	1	5
5	4	4
5	7	2
6	7	3
6	17	2
7	5	2
7	6	3
7	8	10
7	15	5
8	4	5
8	7	10
8	9	3
9	8	3
9	10	5
9	14	6
9	15	4
9	16	8
10	3	6
10	9	5
10	11	6
10	13	4
11	2	4
11	10	6
11	12	3
12	11	3
12	23	4
13	10	4
13	14	5
13	22	4
14	9	6
14	13	5
14	18	3
14	21	3
15	7	5
15	9	4
15	16	2
15	17	3
16	9	8
16	15	2
16	18	2
17	6	2
17	15	3
17	19	4
18	14	3
18	16	2
18	19	4
19	17	4
19	18	4
19	20	6
19	21	5
20	19	6
20	21	2
20	23	3
21	14	3
21	19	5
21	20	2
21	22	4
22	13	4
22	21	4
22	23	2
23	12	4
23	20	3
23	22	2
