90	149	30	buffalo
0	1	59
0	2	75
0	3	53
9	10	124
9	5	47
10	11	70
10	7	50
11	12	110
11	7	70
12	14	60
12	15	270
13	16	310
13	17	120
14	13	50
15	16	200
15	28	280
16	27	410
17	18	290
17	20	470
17	21	310
17	22	190
18	19	566
18	21	278
1	9	40
19	20	267
20	26	80
21	20	170
22	21	260
22	23	270
23	24	260
24	20	380
24	21	330
25	32	190
26	33	110
26	36	270
27	25	100
27	34	100
28	29	330
28	80	360
2	4	25
2	6	62
29	30	410
29	35	190
30	31	160
30	40	160
30	41	270
31	32	120
32	89	40
89	33	180
32	39	100
33	36	210
33	38	210
34	26	330
34	89	180
89	38	100
35	31	290
35	80	70
36	37	260
37	52	210
37	84	210
38	39	60
38	42	160
3	2	40
3	5	41
39	40	250
39	43	150
40	41	200
40	44	210
41	45	110
41	46	160
41	70	440
42	37	280
42	43	100
43	44	290
43	52	170
44	45	160
44	49	180
44	51	290
45	46	90
45	48	210
46	47	220
46	71	360
47	48	90
47	61	200
48	49	150
48	60	220
4	13	330
49	50	170
49	59	250
50	54	240
51	50	60
51	56	250
52	51	90
52	57	280
53	63	300
53	66	660
54	56	40
54	58	80
55	53	60
56	57	20
57	55	60
58	55	60
5	7	190
59	58	310
59	60	150
59	63	240
60	61	90
60	75	700
61	62	260
61	74	360
62	63	240
62	87	200
63	67	540
64	65	210
64	81	230
65	67	40
65	69	390
66	68	190
67	66	170
67	78	180
68	79	130
6	8	110
69	82	230
70	71	90
71	72	110
72	73	80
72	85	270
73	47	380
73	74	250
74	75	290
75	88	180
76	64	460
76	77	310
77	81	360
78	79	180
78	82	340
7	8	40
79	69	80
80	27	30
81	83	520
82	83	280
84	53	160
85	47	190
86	64	380
86	65	390
87	86	70
88	76	140
88	87	490
8	13	150
